Gene	Ensembl	MGI	Sum
Gm21921	true	true	2
Gm21943	true	true	2
Gm21953	true	true	2
Gm21954	true	true	2
Gm21958	true	true	2
Gm21961	true	true	2
Gm21962	true	true	2
Gm21972	true	true	2
Gm21976	true	true	2
Gm21977	true	true	2
Gm21994	true	true	2
Gm2237	true	true	2
Gm2244	true	true	2
Gm2381	true	true	2
Gm26566	true	true	2
Gm266	true	true	2
Gm26602	true	true	2
Gm26620	true	true	2
Gm2663	true	true	2
Gm26657	true	true	2
Gm26741	true	true	2
Gm26897	true	true	2
Gm26992	true	true	2
Gm27027	true	true	2
Gm27235	true	true	2
Gm28036	true	true	2
Gm28038	true	true	2
Gm28047	true	true	2
Gm28053	true	true	2
Gm28079	true	true	2
Gm281	true	true	2
Gm28171	true	true	2
Gm28269	true	true	2
Gm28305	true	true	2
Gm28308	true	true	2
Gm2832	true	true	2
Gm28363	true	true	2
Gm28372	true	true	2
Gm28374	true	true	2
Gm28434	true	true	2
Gm28557	true	true	2
Gm28710	true	true	2
Gm28729	true	true	2
Gm2888	true	true	2
Gm2897	true	true	2
Gm29049	true	true	2
Gm29106	true	true	2
Gm29133	true	true	2
Gm2916	true	true	2
Gm29423	true	true	2
Gm29427	true	true	2
Gm2956	true	true	2
Gm29644	true	true	2
Gm29666	true	true	2
Gm29695	true	true	2
Gm2974	true	true	2
Gm3002	true	true	2
Gm3005	true	true	2
Gm3012	true	true	2
Gm3015	true	true	2
Gm3020	true	true	2
Gm3029	true	true	2
Gm3043	true	true	2
Gm3047	true	true	2
Gm3055	true	true	2
Gm3072	true	true	2
Gm3095	true	true	2
Gm3099	true	true	2
Gm3115	true	true	2
Gm31160	true	true	2
Gm3127	true	true	2
Gm3138	true	true	2
Gm3149	true	true	2
Gm3159	true	true	2
Gm3164	true	true	2
Gm3173	true	true	2
Gm3182	true	true	2
Gm3194	true	true	2
Gm3239	true	true	2
Gm3248	true	true	2
Gm3252	true	true	2
Gm3264	true	true	2
Gm3269	true	true	2
Gm32742	true	true	2
Gm3278	true	true	2
Gm3298	true	true	2
Gm3317	true	true	2
Gm3327	true	true	2
Gm3336	true	true	2
Gm33543	true	true	2
Gm3371	true	true	2
Gm3373	true	true	2
Gm33815	true	true	2
Gm3383	true	true	2
Gm33933	true	true	2
Gm3402	true	true	2
Gm3404	true	true	2
Gm3409	true	true	2
Gm3411	true	true	2
Gm3415	true	true	2
Gm3424	true	true	2
Gm3453	true	true	2
Gm3460	true	true	2
Gm3468	true	true	2
Gm3476	true	true	2
Gm3486	true	true	2
Gm3488	true	true	2
Gm3500	true	true	2
Gm3512	true	true	2
Gm3526	true	true	2
Gm35315	true	true	2
Gm3542	true	true	2
Gm3543	true	true	2
Gm3558	true	true	2
Gm3573	true	true	2
Gm3594	true	true	2
Gm36245	true	true	2
Gm3633	true	true	2
Gm3636	true	true	2
Gm36368	true	true	2
Gm3642	true	true	2
Gm3646	true	true	2
Gm3667	true	true	2
Gm3676	true	true	2
Gm3685	true	true	2
Gm36864	true	true	2
Gm3696	true	true	2
Gm3727	true	true	2
Gm3739	true	true	2
Gm37419	true	true	2
Gm3752	true	true	2
Gm3755	true	true	2
Gm3776	true	true	2
Gm37988	true	true	2
Gm38119	true	true	2
Gm38303	true	true	2
Gm3880	true	true	2
Gm3893	true	true	2
Gm3952	true	true	2
Gm4181	true	true	2
Gm42791	true	true	2
Gm42906	true	true	2
Gm43191	true	true	2
Gm43517	true	true	2
Gm43518	true	true	2
Gm43552	true	true	2
Gm43738	true	true	2
Gm43951	true	true	2
Gm44501	true	true	2
Gm44790	true	true	2
Gm4491	true	true	2
Gm44965	true	true	2
Gm45021	true	true	2
Gm4513	true	true	2
Gm45140	true	true	2
Gm45194	true	true	2
Gm45208	true	true	2
Gm45213	true	true	2
Gm45521	true	true	2
Gm4565	true	true	2
Gm4567	true	true	2
Gm45713	true	true	2
Gm45717	true	true	2
Gm45783	true	true	2
Gm45826	true	true	2
Gm45844	true	true	2
Gm45861	true	true	2
Gm45871	true	true	2
Gm45902	true	true	2
Gm4631	true	true	2
Gm47189	true	true	2
Gm4724	true	true	2
Gm47429	true	true	2
Gm4756	true	true	2
Gm4767	true	true	2
Gm47791	true	true	2
Gm4787	true	true	2
Gm4791	true	true	2
Gm4792	true	true	2
Gm47955	true	true	2
Gm47959	true	true	2
Gm47969	true	true	2
Gm47985	true	true	2
Gm47995	true	true	2
Gm47996	true	true	2
Gm4841	true	true	2
Gm4846	true	true	2
Gm4847	true	true	2
Gm48551	true	true	2
Gm48552	true	true	2
Gm4871	true	true	2
Gm4894	true	true	2
Gm49027	true	true	2
Gm4922	true	true	2
Gm4924	true	true	2
Gm49318	true	true	2
Gm49325	true	true	2
Gm49339	true	true	2
Gm49352	true	true	2
Gm49353	true	true	2
Gm49356	true	true	2
Gm49359	true	true	2
Gm49383	true	true	2
Gm49388	true	true	2
Gm49391	true	true	2
Gm49392	true	true	2
Gm49393	true	true	2
Gm49394	true	true	2
Gm49395	true	true	2
Gm49398	true	true	2
Gm49405	true	true	2
Gm49450	true	true	2
Gm4951	true	true	2
Gm4952	true	true	2
Gm49527	true	true	2
Gm49711	true	true	2
Gm4981	true	true	2
Gm49835	true	true	2
Gm49909	true	true	2
Gm49948	true	true	2
Gm50457	true	true	2
Gm50461	true	true	2
Gm5105	true	true	2
Gm5108	true	true	2
Gm5127	true	true	2
Gm5128	true	true	2
Gm5134	true	true	2
Gm5141	true	true	2
Gm5142	true	true	2
Gm5148	true	true	2
Gm5152	true	true	2
Gm5157	true	true	2
Gm52955	true	true	2
Gm53046	true	true	2
Gm5431	true	true	2
Gm5458	true	true	2
Gm5460	true	true	2
Gm5475	true	true	2
Gm550	true	true	2
Gm5565	true	true	2
Gm5622	true	true	2
Gm5624	true	true	2
Gm5795	true	true	2
Gm5796	true	true	2
Gm5797	true	true	2
Gm5798	true	true	2
Gm5799	true	true	2
Gm5800	true	true	2
Gm5861	true	true	2
Gm5862	true	true	2
Gm5890	true	true	2
Gm5891	true	true	2
Gm5916	true	true	2
Gm5930	true	true	2
Gm5938	true	true	2
Gm5941	true	true	2
Gm6020	true	true	2
Gm6034	true	true	2
Gm6040	true	true	2
Gm609	true	true	2
Gm6133	true	true	2
Gm6176	true	true	2
Gm6217	true	true	2
Gm6268	true	true	2
Gm6309	true	true	2
Gm6337	true	true	2
Gm6356	true	true	2
Gm6358	true	true	2
Gm6370	true	true	2
Gm6377	true	true	2
Gm6401	true	true	2
Gm6408	true	true	2
Gm6460	true	true	2
Gm6465	true	true	2
Gm6482	true	true	2
Gm6526	true	true	2
Gm6569	true	true	2
Gm6619	true	true	2
Gm6676	true	true	2
Gm6760	true	true	2
Gm6763	true	true	2
Gm6812	true	true	2
Gm6871	true	true	2
Gm6882	true	true	2
Gm6902	true	true	2
Gm6993	true	true	2
Gm715	true	true	2
Gm7168	true	true	2
Gm7233	true	true	2
Gm7247	true	true	2
Gm7347	true	true	2
Gm7356	true	true	2
Gm7358	true	true	2
Gm7361	true	true	2
Gm7489	true	true	2
Gm7544	true	true	2
Gm7582	true	true	2
Gm7592	true	true	2
Gm7609	true	true	2
Gm7876	true	true	2
Gm7903	true	true	2
Gm7929	true	true	2
Gm7945	true	true	2
Gm7951	true	true	2
Gm7954	true	true	2
Gm7970	true	true	2
Gm7980	true	true	2
Gm7995	true	true	2
Gm8005	true	true	2
Gm8011	true	true	2
Gm8020	true	true	2
Gm8024	true	true	2
Gm8050	true	true	2
Gm8068	true	true	2
Gm8082	true	true	2
Gm8094	true	true	2
Gm8104	true	true	2
Gm8108	true	true	2
Gm8113	true	true	2
Gm8122	true	true	2
Gm8126	true	true	2
Gm8127	true	true	2
Gm8138	true	true	2
Gm815	true	true	2
Gm8159	true	true	2
Gm8165	true	true	2
Gm8180	true	true	2
Gm8206	true	true	2
Gm8212	true	true	2
Gm8220	true	true	2
Gm8229	true	true	2
Gm8232	true	true	2
Gm8237	true	true	2
Gm8246	true	true	2
Gm8247	true	true	2
Gm8257	true	true	2
Gm826	true	true	2
Gm8265	true	true	2
Gm8267	true	true	2
Gm8271	true	true	2
Gm8279	true	true	2
Gm8281	true	true	2
Gm8297	true	true	2
Gm8334	true	true	2
Gm8356	true	true	2
Gm8362	true	true	2
Gm8369	true	true	2
Gm8374	true	true	2
Gm8439	true	true	2
Gm8764	true	true	2
Gm8797	true	true	2
Gm8857	true	true	2
Gm8871	true	true	2
Gm8879	true	true	2
Gm8890	true	true	2
Gm8897	true	true	2
Gm8906	true	true	2
Gm8922	true	true	2
Gm8926	true	true	2
Gm8947	true	true	2
Gm8978	true	true	2
Gm9	true	true	2
Gm904	true	true	2
Gm9195	true	true	2
Gm9376	true	true	2
Gm9602	true	true	2
Gm9603	true	true	2
Gm9611	true	true	2
Gm9732	true	true	2
Gm9747	true	true	2
Gm9758	true	true	2
Gm9789	true	true	2
Gm9903	true	true	2
Gm9918	true	true	2
Gm9925	true	true	2
Gm9955	true	true	2
Gm9999	true	true	2
