Gene	Ensembl	Sum
Gm11937	true	1
Gm11938	true	1
Gm11939	true	1
Gm12185	true	1
Gm12216	true	1
Gm12253	true	1
Gm12258	true	1
Gm12353	true	1
Gm12689	true	1
Gm12830	true	1
Gm12845	true	1
Gm12886	true	1
Gm12887	true	1
Gm12888	true	1
Gm13030	true	1
Gm13090	true	1
Gm13199	true	1
Gm13271	true	1
Gm13272	true	1
Gm13275	true	1
Gm13276	true	1
Gm13277	true	1
Gm13278	true	1
Gm13279	true	1
Gm13283	true	1
Gm13285	true	1
Gm13287	true	1
Gm13288	true	1
Gm13289	true	1
Gm13290	true	1
Gm1330	true	1
Gm13398	true	1
Gm13539	true	1
Gm13941	true	1
Gm14124	true	1
Gm14139	true	1
Gm14147	true	1
Gm14151	true	1
Gm14180	true	1
Gm14190	true	1
Gm14288	true	1
Gm14295	true	1
Gm14296	true	1
Gm14305	true	1
Gm14308	true	1
Gm14322	true	1
Gm14325	true	1
Gm14326	true	1
Gm14327	true	1
Gm14391	true	1
Gm14393	true	1
Gm14399	true	1
Gm14401	true	1
Gm14403	true	1
Gm14406	true	1
Gm14408	true	1
Gm14409	true	1
Gm14410	true	1
Gm14412	true	1
Gm14418	true	1
Gm14419	true	1
Gm14434	true	1
Gm14440	true	1
Gm14443	true	1
Gm14444	true	1
Gm14496	true	1
Gm14692	true	1
Gm14743	true	1
Gm14744	true	1
Gm14862	true	1
Gm15023	true	1
Gm15056	true	1
Gm15080	true	1
Gm15085	true	1
Gm15091	true	1
Gm15093	true	1
Gm15097	true	1
Gm15107	true	1
Gm15114	true	1
Gm15127	true	1
Gm15128	true	1
Gm15130	true	1
Gm15155	true	1
Gm15217	true	1
Gm1527	true	1
Gm15433	true	1
Gm15446	true	1
Gm15517	true	1
Gm1553	true	1
Gm15557	true	1
Gm15737	true	1
Gm1604b	true	1
Gm16181	true	1
Gm16223	true	1
Gm16253	true	1
Gm16286	true	1
Gm16434	true	1
Gm16440	true	1
Gm16451	true	1
Gm16506	true	1
Gm16867	true	1
Gm17019	true	1
Gm17026	true	1
Gm17027	true	1
Gm17067	true	1
Gm17078	true	1
Gm17079	true	1
Gm17093	true	1
